data;region;province;latitude;longitude;av_temperature;rel_humidity;precipitation;wind_speed;human_population;new_cases
23/10/2024;Andalucía;Jaén;37.779552;-3.7849699;20.7;68.8;0;10.6;618678;0
23/10/2024;Andalucía;Málaga;36.7178196;-4.425557;18.9;82;0;10;1773136;0
23/10/2024;Andalucía;Sevilla;37.3890924;-5.9844589;20.1;71.3;0;8.2;1967746;0
23/10/2024;Castilla-La Mancha;Toledo;39.8628296;-4.0273067;17.2;77.1;0;12.4;740148;0
30/10/2024;Extremadura;Badajoz;38.8781352;-6.9704837;13.1;89.3;1.4;11.5;664970;0
30/10/2024;Extremadura;Cáceres;39.4755328;-6.3734664;13.2;86;14.4;12.2;387820;0
30/10/2024;Andalucía;Cádiz;36.5210142;-6.2804565;16.7;90.3;53.4;27.1;1254291;0
30/10/2024;Andalucía;Córdoba;37.8893025;-4.7792753;13.7;89.7;10.2;12.2;772152;0
30/10/2024;Andalucía;Huelva;37.2619585;-6.9427327;14.2;86.3;8.4;8.9;533448;0
30/10/2024;Andalucía;Jaén;37.779552;-3.7849699;13.4;75;0;10;618678;0
30/10/2024;Andalucía;Málaga;36.7178196;-4.425557;15.8;79.7;2.7;18.2;1773136;0
30/10/2024;Andalucía;Sevilla;37.3890924;-5.9844589;13.8;93.8;42.4;9.1;1967746;0
30/10/2024;Castilla-La Mancha;Toledo;39.8628296;-4.0273067;14.4;77.4;0;10.9;740148;0
